Julian Day	Latitude	Longitude	Ts
from 1/1/97	(deg)	(deg)	(deg C)

304.0833	75.714	-144.272	-26.091
304.1250	75.713	-144.262	-22.571
304.1667	75.712	-144.250	-20.329
304.2083	75.710	-144.238	-18.681
304.2500	75.710	-144.227	-18.174
304.2917	75.709	-144.217	-17.268
304.3333	75.709	-144.206	-17.244
304.3750	75.710	-144.194	-17.670
304.4167	75.711	-144.182	-16.932
304.4583	75.712	-144.170	-16.436
304.5000	75.714	-144.158	-15.527
304.5417	75.717	-144.144	-15.118
304.5833	75.720	-144.130	-15.066
304.6250	75.723	-144.115	-16.695
304.6667	75.725	-144.100	-17.118
304.7083	75.727	-144.085	-16.800
304.7500	75.728	-144.071	-17.718
304.7917	75.729	-144.058	-17.297
304.8333	75.730	-144.046	
304.8750	75.730	-144.039	-24.482
304.9167	75.731	-144.032	-25.179
304.9583	75.731	-144.024	-25.405
305.0000	75.732	-144.016	-24.449
305.0417	75.733	-144.008	-25.651
305.0833	75.734	-144.001	-25.541
305.1250	75.734	-143.991	-22.360
305.1667	75.735	-143.982	-20.684
305.2083	75.736	-143.972	-19.552
305.2500	75.738	-143.963	-19.220
305.2917	75.740	-143.955	-18.997
305.3333	75.742	-143.949	-18.765
305.3750	75.744	-143.944	-18.249
305.4167	75.746	-143.940	-20.398
305.4583	75.748	-143.937	-23.078
305.5000	75.751	-143.934	-24.182
305.5417	75.753	-143.931	-24.163
305.5833	75.756	-143.928	-23.551
305.6250	75.759	-143.926	-23.297
305.6667	75.763	-143.923	-23.272
305.7083	75.766	-143.921	-21.429
305.7500	75.769	-143.920	-18.547
305.7917	75.772	-143.921	-16.185
305.8333	75.775	-143.922	-17.254
305.8750	75.779	-143.923	-19.860
305.9167	75.783	-143.926	-20.187
305.9583	75.787	-143.929	-17.076
306.0000	75.790	-143.933	-15.079
306.0417	75.795	-143.938	-16.499
306.0833	75.799	-143.942	-14.849
306.1250	75.804	-143.946	-14.412
306.1667	75.808	-143.950	-15.021
306.2083	75.813	-143.955	-15.360
306.2500	75.817	-143.959	-15.970
306.2917	75.822	-143.963	-16.451
306.3333	75.826	-143.967	-16.585
306.3750	75.830	-143.971	-17.072
306.4167	75.834	-143.975	-17.066
306.4583	75.838	-143.978	-18.862
306.5000	75.842	-143.981	-21.559
306.5417	75.846	-143.983	-23.081
306.5833	75.849	-143.985	-22.948
306.6250	75.853	-143.986	-22.752
306.6667	75.857	-143.987	-20.773
306.7083	75.860	-143.988	-19.480
306.7500	75.863	-143.989	-20.499
306.7917	75.866	-143.990	-21.428
306.8333	75.868	-143.991	-22.931
306.8750	75.870	-143.991	-23.303
306.9167	75.873	-143.993	-21.795
306.9583	75.876	-143.996	-19.980
307.0000	75.879	-143.998	-19.365
307.0417	75.882	-144.002	-21.537
307.0833	75.886	-144.004	-23.963
307.1250	75.889	-144.005	-23.904
307.1667	75.892	-144.006	-24.763
307.2083	75.895	-144.006	-24.136
307.2500	75.898	-144.006	-21.458
307.2917	75.901	-144.008	-21.518
307.3333	75.904	-144.009	-23.013
307.3750	75.907	-144.010	-24.552
307.4167	75.909	-144.010	-24.915
307.4583	75.912	-144.011	-24.834
307.5000	75.915	-144.012	-24.089
307.5417	75.917	-144.013	-25.630
307.5833	75.920	-144.013	-26.018
307.6250	75.922	-144.015	-25.628
307.6667	75.924	-144.015	-25.868
307.7083	75.926	-144.016	-26.693
307.7500	75.929	-144.016	-26.784
307.7917	75.931	-144.016	-26.876
307.8333	75.933	-144.016	-26.791
307.8750			-26.733
307.9167	75.937	-144.014	-27.240
307.9583	75.939	-144.013	-26.464
308.0000	75.941	-144.013	-25.476
308.0417	75.942	-144.013	-25.685
308.0833	75.944	-144.013	-25.830
308.1250	75.945	-144.012	-25.819
308.1667	75.946	-144.012	-26.050
308.2083	75.947	-144.012	-26.425
308.2500	75.948	-144.012	-26.778
308.2917	75.949	-144.013	-24.661
308.3333	75.950	-144.015	-21.419
308.3750	75.951	-144.017	-19.948
308.4167	75.952	-144.019	-19.251
308.4583	75.953	-144.021	-18.471
308.5000	75.954	-144.023	-17.745
308.5417	75.955	-144.026	-17.427
308.5833	75.956	-144.029	-16.945
308.6250	75.957	-144.034	-17.076
308.6667	75.958	-144.040	-17.284
308.7083	75.960	-144.048	-17.766
308.7500	75.961	-144.057	-20.430
308.7917	75.963	-144.067	-22.862
308.8333	75.964	-144.078	-25.668
308.8750	75.965	-144.090	-22.393
308.9167	75.967	-144.103	-22.212
308.9583	75.968	-144.115	-20.578
309.0000	75.969	-144.128	-20.242
309.0417	75.970	-144.141	-20.646
309.0833	75.970	-144.155	-21.979
309.1250			-26.305
309.1667	75.971	-144.180	-27.193
309.2083	75.971	-144.192	-28.006
309.2500	75.971	-144.205	-28.152
309.2917	75.970	-144.218	-25.851
309.3333	75.970	-144.230	-27.048
309.3750	75.970	-144.243	-26.699
309.4167	75.969	-144.256	-25.079
309.4583	75.968	-144.270	-25.545
309.5000	75.967	-144.285	-24.880
309.5417	75.966	-144.302	-23.422
309.5833	75.965	-144.321	-19.381
309.6250	75.963	-144.342	-18.041
309.6667	75.962	-144.366	-16.790
309.7083	75.961	-144.395	-16.714
309.7500	75.960	-144.427	-16.582
309.7917	75.959	-144.459	-16.038
309.8333	75.959	-144.492	-16.059
309.8750	75.959	-144.524	-16.144
309.9167	75.960	-144.556	-15.961
309.9583	75.961	-144.586	-16.116
310.0000	75.962	-144.615	-16.195
310.0417	75.964	-144.643	-16.067
310.0833	75.966	-144.671	-16.015
310.1250	75.968	-144.697	-16.041
310.1667	75.970	-144.722	-15.835
310.2083	75.972	-144.747	-15.601
310.2500	75.975	-144.771	-16.065
310.2917	75.977	-144.794	-16.398
310.3333	75.979	-144.817	-16.529
310.3750	75.982	-144.837	-16.556
310.4167	75.984	-144.857	-16.534
310.4583	75.986	-144.874	-16.175
310.5000	75.988	-144.889	-16.332
310.5417	75.990	-144.904	-16.512
310.5833	75.992	-144.918	-16.324
310.6250	75.994	-144.932	-16.312
310.6667	75.995	-144.944	-16.310
310.7083	75.998	-144.956	-16.154
310.7500	76.000	-144.968	-15.842
310.7917	76.002	-144.978	-15.479
310.8333	76.005	-144.987	-14.964
310.8750	76.007	-144.994	-16.227
310.9167	76.009	-145.001	-14.704
310.9583	76.011	-145.010	-14.271
311.0000	76.012	-145.018	-13.963
311.0417			-14.694
311.0833	76.015	-145.038	-15.005
311.1250	76.016	-145.049	-15.037
311.1667	76.017	-145.060	-15.001
311.2083	76.019	-145.072	-14.941
311.2500	76.020	-145.084	-15.723
311.2917	76.022	-145.097	-16.460
311.3333	76.023	-145.108	-16.040
311.3750	76.025	-145.119	-16.347
311.4167	76.026	-145.130	-17.740
311.4583	76.027	-145.140	-18.170
311.5000	76.028	-145.149	-18.322
311.5417	76.029	-145.158	-18.214
311.5833	76.030	-145.167	-17.956
311.6250	76.030	-145.175	-17.628
311.6667	76.031	-145.183	-17.229
311.7083	76.031	-145.192	-17.307
311.7500	76.032	-145.200	-17.727
311.7917	76.033	-145.208	-18.872
311.8333	76.034	-145.216	-20.060
311.8750	76.034	-145.222	-20.883
